,cell_type
i299,BxPC3(pSCoPE_Huffman)
i30,HPAFII(pSCoPE_Huffman)
i300,BxPC3(pSCoPE_Huffman)
i302,HPAFII(pSCoPE_Huffman)
i303,HPAFII(pSCoPE_Huffman)
i304,HPAFII(pSCoPE_Huffman)
i309,CFPACI(pSCoPE_Huffman)
i31,HPAFII(pSCoPE_Huffman)
i310,CFPACI(pSCoPE_Huffman)
i311,CFPACI(pSCoPE_Huffman)
i312,CFPACI(pSCoPE_Huffman)
i313,BxPC3(pSCoPE_Huffman)
i314,BxPC3(pSCoPE_Huffman)
i315,BxPC3(pSCoPE_Huffman)
i317,HPAFII(pSCoPE_Huffman)
i318,HPAFII(pSCoPE_Huffman)
i319,HPAFII(pSCoPE_Huffman)
i32,HPAFII(pSCoPE_Huffman)
i320,HPAFII(pSCoPE_Huffman)
i37,CFPACI(pSCoPE_Huffman)
i38,CFPACI(pSCoPE_Huffman)
i39,CFPACI(pSCoPE_Huffman)
i40,CFPACI(pSCoPE_Huffman)
i41,BxPC3(pSCoPE_Huffman)
i42,BxPC3(pSCoPE_Huffman)
i43,BxPC3(pSCoPE_Huffman)
i45,HPAFII(pSCoPE_Huffman)
i47,HPAFII(pSCoPE_Huffman)
i48,HPAFII(pSCoPE_Huffman)
i5,HPAFII(pSCoPE_Huffman)
i53,CFPACI(pSCoPE_Huffman)
i54,CFPACI(pSCoPE_Huffman)
i55,CFPACI(pSCoPE_Huffman)
i56,BxPC3(pSCoPE_Huffman)
i57,BxPC3(pSCoPE_Huffman)
i58,BxPC3(pSCoPE_Huffman)
i6,HPAFII(pSCoPE_Huffman)
i60,HPAFII(pSCoPE_Huffman)
i61,HPAFII(pSCoPE_Huffman)
i62,HPAFII(pSCoPE_Huffman)
i63,HPAFII(pSCoPE_Huffman)
i64,CFPACI(pSCoPE_Huffman)
i69,CFPACI(pSCoPE_Huffman)
i7,CFPACI(pSCoPE_Huffman)
i70,CFPACI(pSCoPE_Huffman)
i71,BxPC3(pSCoPE_Huffman)
i72,BxPC3(pSCoPE_Huffman)
i73,BxPC3(pSCoPE_Huffman)
i75,HPAFII(pSCoPE_Huffman)
i76,HPAFII(pSCoPE_Huffman)
i78,HPAFII(pSCoPE_Huffman)
i79,CFPACI(pSCoPE_Huffman)
i8,CFPACI(pSCoPE_Huffman)
i80,CFPACI(pSCoPE_Huffman)
i85,HPAFII(pSCoPE_Huffman)
i86,HPAFII(pSCoPE_Huffman)
i87,HPAFII(pSCoPE_Huffman)
i88,CFPACI(pSCoPE_Huffman)
i89,CFPACI(pSCoPE_Huffman)
i9,CFPACI(pSCoPE_Huffman)
i90,CFPACI(pSCoPE_Huffman)
i91,CFPACI(pSCoPE_Huffman)
i92,BxPC3(pSCoPE_Huffman)
i93,BxPC3(pSCoPE_Huffman)
i94,BxPC3(pSCoPE_Huffman)
i95,BxPC3(pSCoPE_Huffman)
