,cell_type
i87,U-937(SCoPE2_Leduc)
i88,Hela(SCoPE2_Leduc)
i89,Hela(SCoPE2_Leduc)
i9,U-937(SCoPE2_Leduc)
i90,Hela(SCoPE2_Leduc)
i91,Hela(SCoPE2_Leduc)
i92,Hela(SCoPE2_Leduc)
i93,Hela(SCoPE2_Leduc)
i95,U-937(SCoPE2_Leduc)
i96,U-937(SCoPE2_Leduc)
