,cell_type
i1158,U-937(pSCoPE_Leduc)
i1159,U-937(pSCoPE_Leduc)
i116,Melanoma(pSCoPE_Leduc)
i1160,U-937(pSCoPE_Leduc)
i1161,U-937(pSCoPE_Leduc)
i1162,U-937(pSCoPE_Leduc)
i1163,U-937(pSCoPE_Leduc)
i1165,Melanoma(pSCoPE_Leduc)
i1166,Melanoma(pSCoPE_Leduc)
i1168,Melanoma(pSCoPE_Leduc)
i1169,Melanoma(pSCoPE_Leduc)
i117,U-937(pSCoPE_Leduc)
i1170,Melanoma(pSCoPE_Leduc)
i1175,U-937(pSCoPE_Leduc)
i1176,U-937(pSCoPE_Leduc)
i1177,U-937(pSCoPE_Leduc)
i1178,U-937(pSCoPE_Leduc)
i1179,U-937(pSCoPE_Leduc)
i1182,Melanoma(pSCoPE_Leduc)
i1183,Melanoma(pSCoPE_Leduc)
i1184,Melanoma(pSCoPE_Leduc)
i1185,Melanoma(pSCoPE_Leduc)
i1186,Melanoma(pSCoPE_Leduc)
i1187,Melanoma(pSCoPE_Leduc)
i1188,U-937(pSCoPE_Leduc)
i119,U-937(pSCoPE_Leduc)
i1193,U-937(pSCoPE_Leduc)
i1194,U-937(pSCoPE_Leduc)
i1195,U-937(pSCoPE_Leduc)
i1196,U-937(pSCoPE_Leduc)
i1197,U-937(pSCoPE_Leduc)
i1199,Melanoma(pSCoPE_Leduc)
i120,U-937(pSCoPE_Leduc)
i1200,Melanoma(pSCoPE_Leduc)
i1202,Melanoma(pSCoPE_Leduc)
i1203,Melanoma(pSCoPE_Leduc)
i1205,U-937(pSCoPE_Leduc)
i1206,U-937(pSCoPE_Leduc)
i121,U-937(pSCoPE_Leduc)
i1211,Melanoma(pSCoPE_Leduc)
i1212,Melanoma(pSCoPE_Leduc)
i1214,Melanoma(pSCoPE_Leduc)
i1215,Melanoma(pSCoPE_Leduc)
i1216,Melanoma(pSCoPE_Leduc)
i1217,Melanoma(pSCoPE_Leduc)
i1218,U-937(pSCoPE_Leduc)
i1219,U-937(pSCoPE_Leduc)
i122,U-937(pSCoPE_Leduc)
i1220,U-937(pSCoPE_Leduc)
i1221,U-937(pSCoPE_Leduc)
i1222,U-937(pSCoPE_Leduc)
i1223,U-937(pSCoPE_Leduc)
i1229,Melanoma(pSCoPE_Leduc)
i1230,Melanoma(pSCoPE_Leduc)
i1231,Melanoma(pSCoPE_Leduc)
i1232,Melanoma(pSCoPE_Leduc)
i1233,Melanoma(pSCoPE_Leduc)
i1234,Melanoma(pSCoPE_Leduc)
i1235,U-937(pSCoPE_Leduc)
i1236,U-937(pSCoPE_Leduc)
i1237,U-937(pSCoPE_Leduc)
i1238,U-937(pSCoPE_Leduc)
i1239,U-937(pSCoPE_Leduc)
i124,Melanoma(pSCoPE_Leduc)
i1240,U-937(pSCoPE_Leduc)
i1242,Melanoma(pSCoPE_Leduc)
i1247,Melanoma(pSCoPE_Leduc)
i1248,Melanoma(pSCoPE_Leduc)
i1249,Melanoma(pSCoPE_Leduc)
i125,Melanoma(pSCoPE_Leduc)
i1251,Melanoma(pSCoPE_Leduc)
i1252,U-937(pSCoPE_Leduc)
i1253,U-937(pSCoPE_Leduc)
i1254,U-937(pSCoPE_Leduc)
i1255,U-937(pSCoPE_Leduc)
i1256,U-937(pSCoPE_Leduc)
i1257,U-937(pSCoPE_Leduc)
i1259,Melanoma(pSCoPE_Leduc)
i126,Melanoma(pSCoPE_Leduc)
i1260,Melanoma(pSCoPE_Leduc)
i1265,Melanoma(pSCoPE_Leduc)
i1266,Melanoma(pSCoPE_Leduc)
i1267,Melanoma(pSCoPE_Leduc)
i1268,Melanoma(pSCoPE_Leduc)
i1270,U-937(pSCoPE_Leduc)
i1272,U-937(pSCoPE_Leduc)
i1273,U-937(pSCoPE_Leduc)
i1274,U-937(pSCoPE_Leduc)
i1276,Melanoma(pSCoPE_Leduc)
i1277,Melanoma(pSCoPE_Leduc)
i1278,Melanoma(pSCoPE_Leduc)
i1283,Melanoma(pSCoPE_Leduc)
i1284,Melanoma(pSCoPE_Leduc)
i1285,Melanoma(pSCoPE_Leduc)
i1286,U-937(pSCoPE_Leduc)
i1287,U-937(pSCoPE_Leduc)
i1288,U-937(pSCoPE_Leduc)
i1289,U-937(pSCoPE_Leduc)
i1290,U-937(pSCoPE_Leduc)
i1292,U-937(pSCoPE_Leduc)
i1293,Melanoma(pSCoPE_Leduc)
i1294,Melanoma(pSCoPE_Leduc)
i1295,Melanoma(pSCoPE_Leduc)
i1296,Melanoma(pSCoPE_Leduc)
i13,Melanoma(pSCoPE_Leduc)
i1301,Melanoma(pSCoPE_Leduc)
i1302,U-937(pSCoPE_Leduc)
i1303,U-937(pSCoPE_Leduc)
i1305,U-937(pSCoPE_Leduc)
i1307,U-937(pSCoPE_Leduc)
i1308,U-937(pSCoPE_Leduc)
i131,Melanoma(pSCoPE_Leduc)
i1310,Melanoma(pSCoPE_Leduc)
i1311,Melanoma(pSCoPE_Leduc)
i1312,Melanoma(pSCoPE_Leduc)
i1313,Melanoma(pSCoPE_Leduc)
i1314,Melanoma(pSCoPE_Leduc)
i1319,U-937(pSCoPE_Leduc)
i132,Melanoma(pSCoPE_Leduc)
i1320,U-937(pSCoPE_Leduc)
i1321,U-937(pSCoPE_Leduc)
i1322,U-937(pSCoPE_Leduc)
i1323,U-937(pSCoPE_Leduc)
i1324,U-937(pSCoPE_Leduc)
i1325,U-937(pSCoPE_Leduc)
i1327,Melanoma(pSCoPE_Leduc)
i1328,Melanoma(pSCoPE_Leduc)
i133,Melanoma(pSCoPE_Leduc)
i1330,Melanoma(pSCoPE_Leduc)
i1331,Melanoma(pSCoPE_Leduc)
i1332,Melanoma(pSCoPE_Leduc)
i1337,U-937(pSCoPE_Leduc)
i1338,U-937(pSCoPE_Leduc)
i134,U-937(pSCoPE_Leduc)
i1340,U-937(pSCoPE_Leduc)
i1341,U-937(pSCoPE_Leduc)
i1342,U-937(pSCoPE_Leduc)
i1345,Melanoma(pSCoPE_Leduc)
i1346,Melanoma(pSCoPE_Leduc)
i1347,Melanoma(pSCoPE_Leduc)
i1348,Melanoma(pSCoPE_Leduc)
i1349,Melanoma(pSCoPE_Leduc)
i135,U-937(pSCoPE_Leduc)
i1350,U-937(pSCoPE_Leduc)
i1355,U-937(pSCoPE_Leduc)
i1356,U-937(pSCoPE_Leduc)
i1357,U-937(pSCoPE_Leduc)
i1358,U-937(pSCoPE_Leduc)
i1359,U-937(pSCoPE_Leduc)
i1362,Melanoma(pSCoPE_Leduc)
i1363,Melanoma(pSCoPE_Leduc)
i1364,Melanoma(pSCoPE_Leduc)
i1365,Melanoma(pSCoPE_Leduc)
i1366,Melanoma(pSCoPE_Leduc)
i1367,U-937(pSCoPE_Leduc)
i1368,U-937(pSCoPE_Leduc)
i137,U-937(pSCoPE_Leduc)
i1373,Melanoma(pSCoPE_Leduc)
i1374,Melanoma(pSCoPE_Leduc)
i1375,Melanoma(pSCoPE_Leduc)
i1376,Melanoma(pSCoPE_Leduc)
i1377,Melanoma(pSCoPE_Leduc)
i1378,Melanoma(pSCoPE_Leduc)
i1379,Melanoma(pSCoPE_Leduc)
i138,U-937(pSCoPE_Leduc)
i1380,U-937(pSCoPE_Leduc)
i1381,U-937(pSCoPE_Leduc)
i1382,U-937(pSCoPE_Leduc)
i1383,U-937(pSCoPE_Leduc)
i1384,U-937(pSCoPE_Leduc)
i1385,U-937(pSCoPE_Leduc)
i139,U-937(pSCoPE_Leduc)
i1391,Melanoma(pSCoPE_Leduc)
i1392,Melanoma(pSCoPE_Leduc)
i1393,Melanoma(pSCoPE_Leduc)
i1394,Melanoma(pSCoPE_Leduc)
i1396,U-937(pSCoPE_Leduc)
i1397,U-937(pSCoPE_Leduc)
i1399,U-937(pSCoPE_Leduc)
i14,Melanoma(pSCoPE_Leduc)
i140,U-937(pSCoPE_Leduc)
i1400,U-937(pSCoPE_Leduc)
i1401,U-937(pSCoPE_Leduc)
i1403,Melanoma(pSCoPE_Leduc)
i1404,Melanoma(pSCoPE_Leduc)
i1409,Melanoma(pSCoPE_Leduc)
i141,Melanoma(pSCoPE_Leduc)
i1410,Melanoma(pSCoPE_Leduc)
i1411,Melanoma(pSCoPE_Leduc)
i1412,Melanoma(pSCoPE_Leduc)
i1413,U-937(pSCoPE_Leduc)
i1415,U-937(pSCoPE_Leduc)
i1416,U-937(pSCoPE_Leduc)
i1417,U-937(pSCoPE_Leduc)
i1418,U-937(pSCoPE_Leduc)
i142,Melanoma(pSCoPE_Leduc)
i1420,Melanoma(pSCoPE_Leduc)
i1421,Melanoma(pSCoPE_Leduc)
i1422,Melanoma(pSCoPE_Leduc)
i1427,Melanoma(pSCoPE_Leduc)
i1428,Melanoma(pSCoPE_Leduc)
i1429,Melanoma(pSCoPE_Leduc)
i143,Melanoma(pSCoPE_Leduc)
i1430,U-937(pSCoPE_Leduc)
i1431,U-937(pSCoPE_Leduc)
i1432,U-937(pSCoPE_Leduc)
i1433,U-937(pSCoPE_Leduc)
i1434,U-937(pSCoPE_Leduc)
i1435,U-937(pSCoPE_Leduc)
i1436,U-937(pSCoPE_Leduc)
i1439,Melanoma(pSCoPE_Leduc)
i144,Melanoma(pSCoPE_Leduc)
i1440,Melanoma(pSCoPE_Leduc)
i1445,Melanoma(pSCoPE_Leduc)
i1447,U-937(pSCoPE_Leduc)
i1449,U-937(pSCoPE_Leduc)
i1450,U-937(pSCoPE_Leduc)
i1451,U-937(pSCoPE_Leduc)
i1452,U-937(pSCoPE_Leduc)
i1455,Melanoma(pSCoPE_Leduc)
i1456,Melanoma(pSCoPE_Leduc)
i1458,Melanoma(pSCoPE_Leduc)
i1463,U-937(pSCoPE_Leduc)
i1464,U-937(pSCoPE_Leduc)
i1465,U-937(pSCoPE_Leduc)
i1466,U-937(pSCoPE_Leduc)
i1467,U-937(pSCoPE_Leduc)
i1469,U-937(pSCoPE_Leduc)
i1471,Melanoma(pSCoPE_Leduc)
i1472,Melanoma(pSCoPE_Leduc)
i1473,Melanoma(pSCoPE_Leduc)
i1474,Melanoma(pSCoPE_Leduc)
i1475,Melanoma(pSCoPE_Leduc)
i1481,U-937(pSCoPE_Leduc)
i1482,U-937(pSCoPE_Leduc)
i1483,U-937(pSCoPE_Leduc)
i1484,U-937(pSCoPE_Leduc)
i1485,U-937(pSCoPE_Leduc)
i1486,U-937(pSCoPE_Leduc)
i1489,Melanoma(pSCoPE_Leduc)
i149,Melanoma(pSCoPE_Leduc)
i1490,Melanoma(pSCoPE_Leduc)
i1491,Melanoma(pSCoPE_Leduc)
i1492,Melanoma(pSCoPE_Leduc)
i1493,Melanoma(pSCoPE_Leduc)
i1494,U-937(pSCoPE_Leduc)
i1499,U-937(pSCoPE_Leduc)
i15,Melanoma(pSCoPE_Leduc)
i150,U-937(pSCoPE_Leduc)
i1500,U-937(pSCoPE_Leduc)
i1501,U-937(pSCoPE_Leduc)
i1502,U-937(pSCoPE_Leduc)
i1503,U-937(pSCoPE_Leduc)
i1506,Melanoma(pSCoPE_Leduc)
i1507,Melanoma(pSCoPE_Leduc)
i1508,Melanoma(pSCoPE_Leduc)
i1509,Melanoma(pSCoPE_Leduc)
i151,U-937(pSCoPE_Leduc)
i1511,U-937(pSCoPE_Leduc)
i1512,U-937(pSCoPE_Leduc)
i1517,Melanoma(pSCoPE_Leduc)
i1518,Melanoma(pSCoPE_Leduc)
i152,U-937(pSCoPE_Leduc)
i1520,Melanoma(pSCoPE_Leduc)
i1521,Melanoma(pSCoPE_Leduc)
i1522,Melanoma(pSCoPE_Leduc)
i1524,U-937(pSCoPE_Leduc)
i1526,U-937(pSCoPE_Leduc)
i1527,U-937(pSCoPE_Leduc)
i1529,U-937(pSCoPE_Leduc)
i153,U-937(pSCoPE_Leduc)
i1535,Melanoma(pSCoPE_Leduc)
i1536,Melanoma(pSCoPE_Leduc)
i1538,Melanoma(pSCoPE_Leduc)
i1539,Melanoma(pSCoPE_Leduc)
i154,U-937(pSCoPE_Leduc)
i1541,U-937(pSCoPE_Leduc)
i1542,U-937(pSCoPE_Leduc)
i1543,U-937(pSCoPE_Leduc)
i1544,U-937(pSCoPE_Leduc)
i1545,U-937(pSCoPE_Leduc)
i1547,Melanoma(pSCoPE_Leduc)
i1548,Melanoma(pSCoPE_Leduc)
i155,U-937(pSCoPE_Leduc)
i1553,Melanoma(pSCoPE_Leduc)
i1554,Melanoma(pSCoPE_Leduc)
i1555,Melanoma(pSCoPE_Leduc)
i1558,U-937(pSCoPE_Leduc)
i1559,U-937(pSCoPE_Leduc)
i156,U-937(pSCoPE_Leduc)
i1560,U-937(pSCoPE_Leduc)
i1562,U-937(pSCoPE_Leduc)
i1564,Melanoma(pSCoPE_Leduc)
i1565,Melanoma(pSCoPE_Leduc)
i1566,Melanoma(pSCoPE_Leduc)
i1571,Melanoma(pSCoPE_Leduc)
i1572,Melanoma(pSCoPE_Leduc)
i1573,Melanoma(pSCoPE_Leduc)
i1574,U-937(pSCoPE_Leduc)
i1576,U-937(pSCoPE_Leduc)
i1577,U-937(pSCoPE_Leduc)
i1578,U-937(pSCoPE_Leduc)
i1579,U-937(pSCoPE_Leduc)
i158,Melanoma(pSCoPE_Leduc)
i1580,U-937(pSCoPE_Leduc)
i1581,Melanoma(pSCoPE_Leduc)
i1582,Melanoma(pSCoPE_Leduc)
i1583,Melanoma(pSCoPE_Leduc)
i1589,Melanoma(pSCoPE_Leduc)
i159,Melanoma(pSCoPE_Leduc)
i1590,U-937(pSCoPE_Leduc)
i1591,U-937(pSCoPE_Leduc)
i1592,U-937(pSCoPE_Leduc)
i1594,U-937(pSCoPE_Leduc)
i1595,U-937(pSCoPE_Leduc)
i1596,U-937(pSCoPE_Leduc)
i1598,Melanoma(pSCoPE_Leduc)
i1599,Melanoma(pSCoPE_Leduc)
i16,Melanoma(pSCoPE_Leduc)
i1600,Melanoma(pSCoPE_Leduc)
i1601,Melanoma(pSCoPE_Leduc)
i1602,Melanoma(pSCoPE_Leduc)
i1607,U-937(pSCoPE_Leduc)
i1608,U-937(pSCoPE_Leduc)
i1609,U-937(pSCoPE_Leduc)
i161,Melanoma(pSCoPE_Leduc)
i1610,U-937(pSCoPE_Leduc)
i1611,U-937(pSCoPE_Leduc)
i1614,Melanoma(pSCoPE_Leduc)
i1615,Melanoma(pSCoPE_Leduc)
i1616,Melanoma(pSCoPE_Leduc)
i1617,Melanoma(pSCoPE_Leduc)
i1618,Melanoma(pSCoPE_Leduc)
i1619,Melanoma(pSCoPE_Leduc)
i162,Melanoma(pSCoPE_Leduc)
i1620,U-937(pSCoPE_Leduc)
i1626,Melanoma(pSCoPE_Leduc)
i1627,Melanoma(pSCoPE_Leduc)
i1628,Melanoma(pSCoPE_Leduc)
i1629,Melanoma(pSCoPE_Leduc)
i1630,Melanoma(pSCoPE_Leduc)
i1631,U-937(pSCoPE_Leduc)
i1632,U-937(pSCoPE_Leduc)
i1633,U-937(pSCoPE_Leduc)
i1634,U-937(pSCoPE_Leduc)
i1635,U-937(pSCoPE_Leduc)
i1636,U-937(pSCoPE_Leduc)
i1638,Melanoma(pSCoPE_Leduc)
i1643,Melanoma(pSCoPE_Leduc)
i1644,Melanoma(pSCoPE_Leduc)
i1645,Melanoma(pSCoPE_Leduc)
i1646,Melanoma(pSCoPE_Leduc)
i1647,Melanoma(pSCoPE_Leduc)
i1649,U-937(pSCoPE_Leduc)
i1650,U-937(pSCoPE_Leduc)
i1651,U-937(pSCoPE_Leduc)
i1652,U-937(pSCoPE_Leduc)
i1653,U-937(pSCoPE_Leduc)
i1654,U-937(pSCoPE_Leduc)
i1656,Melanoma(pSCoPE_Leduc)
i1661,U-937(pSCoPE_Leduc)
i1663,U-937(pSCoPE_Leduc)
i1664,U-937(pSCoPE_Leduc)
i1665,U-937(pSCoPE_Leduc)
i1666,U-937(pSCoPE_Leduc)
i1667,U-937(pSCoPE_Leduc)
i1669,Melanoma(pSCoPE_Leduc)
i167,U-937(pSCoPE_Leduc)
i1671,Melanoma(pSCoPE_Leduc)
i1672,Melanoma(pSCoPE_Leduc)
i1673,Melanoma(pSCoPE_Leduc)
i1674,Melanoma(pSCoPE_Leduc)
i1679,U-937(pSCoPE_Leduc)
i168,U-937(pSCoPE_Leduc)
i1680,U-937(pSCoPE_Leduc)
i1681,U-937(pSCoPE_Leduc)
i1682,U-937(pSCoPE_Leduc)
i1683,U-937(pSCoPE_Leduc)
i1684,U-937(pSCoPE_Leduc)
i1686,Melanoma(pSCoPE_Leduc)
i1687,Melanoma(pSCoPE_Leduc)
i1688,Melanoma(pSCoPE_Leduc)
i1689,Melanoma(pSCoPE_Leduc)
i169,U-937(pSCoPE_Leduc)
i1691,Melanoma(pSCoPE_Leduc)
i1692,U-937(pSCoPE_Leduc)
i1697,U-937(pSCoPE_Leduc)
i1698,U-937(pSCoPE_Leduc)
i1699,U-937(pSCoPE_Leduc)
i17,Melanoma(pSCoPE_Leduc)
i170,U-937(pSCoPE_Leduc)
i1700,U-937(pSCoPE_Leduc)
i1703,Melanoma(pSCoPE_Leduc)
i1704,Melanoma(pSCoPE_Leduc)
i1705,Melanoma(pSCoPE_Leduc)
i1706,Melanoma(pSCoPE_Leduc)
i1707,Melanoma(pSCoPE_Leduc)
i1708,Melanoma(pSCoPE_Leduc)
i1709,U-937(pSCoPE_Leduc)
i171,U-937(pSCoPE_Leduc)
i1715,Melanoma(pSCoPE_Leduc)
i1716,Melanoma(pSCoPE_Leduc)
i1717,Melanoma(pSCoPE_Leduc)
i1718,Melanoma(pSCoPE_Leduc)
i172,U-937(pSCoPE_Leduc)
i1720,Melanoma(pSCoPE_Leduc)
i1721,Melanoma(pSCoPE_Leduc)
i1722,U-937(pSCoPE_Leduc)
i1723,U-937(pSCoPE_Leduc)
i1724,U-937(pSCoPE_Leduc)
i1725,U-937(pSCoPE_Leduc)
i1726,U-937(pSCoPE_Leduc)
i1727,U-937(pSCoPE_Leduc)
i173,U-937(pSCoPE_Leduc)
i1733,Melanoma(pSCoPE_Leduc)
i1734,Melanoma(pSCoPE_Leduc)
i1735,Melanoma(pSCoPE_Leduc)
i1736,Melanoma(pSCoPE_Leduc)
i1737,Melanoma(pSCoPE_Leduc)
i1738,Melanoma(pSCoPE_Leduc)
i1739,U-937(pSCoPE_Leduc)
i1740,U-937(pSCoPE_Leduc)
i1741,U-937(pSCoPE_Leduc)
i1742,U-937(pSCoPE_Leduc)
i1744,U-937(pSCoPE_Leduc)
i1746,Melanoma(pSCoPE_Leduc)
i175,Melanoma(pSCoPE_Leduc)
i1751,Melanoma(pSCoPE_Leduc)
i1752,Melanoma(pSCoPE_Leduc)
i1753,Melanoma(pSCoPE_Leduc)
i1754,Melanoma(pSCoPE_Leduc)
i1755,Melanoma(pSCoPE_Leduc)
i1756,U-937(pSCoPE_Leduc)
i1757,U-937(pSCoPE_Leduc)
i1758,U-937(pSCoPE_Leduc)
i1759,U-937(pSCoPE_Leduc)
i176,Melanoma(pSCoPE_Leduc)
i1760,U-937(pSCoPE_Leduc)
i1763,Melanoma(pSCoPE_Leduc)
i1764,Melanoma(pSCoPE_Leduc)
i1769,Melanoma(pSCoPE_Leduc)
i177,Melanoma(pSCoPE_Leduc)
i1771,Melanoma(pSCoPE_Leduc)
i1773,U-937(pSCoPE_Leduc)
i1775,U-937(pSCoPE_Leduc)
i1777,U-937(pSCoPE_Leduc)
i1778,U-937(pSCoPE_Leduc)
i178,Melanoma(pSCoPE_Leduc)
i1780,Melanoma(pSCoPE_Leduc)
i1781,Melanoma(pSCoPE_Leduc)
i1782,Melanoma(pSCoPE_Leduc)
i1787,Melanoma(pSCoPE_Leduc)
i1788,Melanoma(pSCoPE_Leduc)
i1790,U-937(pSCoPE_Leduc)
i1791,U-937(pSCoPE_Leduc)
i1792,U-937(pSCoPE_Leduc)
i1793,U-937(pSCoPE_Leduc)
i1794,U-937(pSCoPE_Leduc)
i1795,U-937(pSCoPE_Leduc)
i1796,U-937(pSCoPE_Leduc)
i1797,Melanoma(pSCoPE_Leduc)
i1798,Melanoma(pSCoPE_Leduc)
i1799,Melanoma(pSCoPE_Leduc)
i18,Melanoma(pSCoPE_Leduc)
i180,Melanoma(pSCoPE_Leduc)
i1800,Melanoma(pSCoPE_Leduc)
i1805,Melanoma(pSCoPE_Leduc)
i1806,U-937(pSCoPE_Leduc)
i1807,U-937(pSCoPE_Leduc)
i1808,U-937(pSCoPE_Leduc)
i1809,U-937(pSCoPE_Leduc)
i1810,U-937(pSCoPE_Leduc)
i1812,U-937(pSCoPE_Leduc)
i1814,Melanoma(pSCoPE_Leduc)
i1815,Melanoma(pSCoPE_Leduc)
i1817,Melanoma(pSCoPE_Leduc)
i1818,Melanoma(pSCoPE_Leduc)
i1823,U-937(pSCoPE_Leduc)
i1824,U-937(pSCoPE_Leduc)
i1825,U-937(pSCoPE_Leduc)
i1826,U-937(pSCoPE_Leduc)
i1827,U-937(pSCoPE_Leduc)
i1828,U-937(pSCoPE_Leduc)
i1830,Melanoma(pSCoPE_Leduc)
i1831,Melanoma(pSCoPE_Leduc)
i1832,Melanoma(pSCoPE_Leduc)
i1833,Melanoma(pSCoPE_Leduc)
i1834,Melanoma(pSCoPE_Leduc)
i1835,Melanoma(pSCoPE_Leduc)
i1836,U-937(pSCoPE_Leduc)
i1841,U-937(pSCoPE_Leduc)
i1842,U-937(pSCoPE_Leduc)
i1843,U-937(pSCoPE_Leduc)
i1844,U-937(pSCoPE_Leduc)
i1845,U-937(pSCoPE_Leduc)
i1847,Melanoma(pSCoPE_Leduc)
i1848,Melanoma(pSCoPE_Leduc)
i1849,Melanoma(pSCoPE_Leduc)
i185,U-937(pSCoPE_Leduc)
i1850,Melanoma(pSCoPE_Leduc)
i1851,Melanoma(pSCoPE_Leduc)
i1852,Melanoma(pSCoPE_Leduc)
i1854,U-937(pSCoPE_Leduc)
i1859,Melanoma(pSCoPE_Leduc)
i186,U-937(pSCoPE_Leduc)
i1860,Melanoma(pSCoPE_Leduc)
i1861,Melanoma(pSCoPE_Leduc)
i1862,Melanoma(pSCoPE_Leduc)
i1863,Melanoma(pSCoPE_Leduc)
i1864,Melanoma(pSCoPE_Leduc)
i1865,Melanoma(pSCoPE_Leduc)
i1866,U-937(pSCoPE_Leduc)
i1867,U-937(pSCoPE_Leduc)
i1868,U-937(pSCoPE_Leduc)
i1869,U-937(pSCoPE_Leduc)
i187,U-937(pSCoPE_Leduc)
i1870,U-937(pSCoPE_Leduc)
i1871,U-937(pSCoPE_Leduc)
i1877,Melanoma(pSCoPE_Leduc)
i1878,Melanoma(pSCoPE_Leduc)
i188,U-937(pSCoPE_Leduc)
i1880,Melanoma(pSCoPE_Leduc)
i1881,Melanoma(pSCoPE_Leduc)
i1882,Melanoma(pSCoPE_Leduc)
